[2025-03-02 16:48:45] Received scan results from client 151
Invalid Props Reported by Client:
1. Category: Lights | Object: V_44_D_emis | Name: Light 36
2. Category: Lights | Object: apa_mp_h_lit_floorlamp_04 | Name: Light 39
3. Category: Lights | Object: hei_heist_lit_lamptable_05 | Name: Light 43
4. Category: Details | Object: v_20_ornaeagle | Name: Figurine adelaar
5. Category: Storage | Object: v_61_lng_mesh_unitc | Name: Bookcase white
6. Category: Bathroom | Object: prop_sink_03 | Name: Sink 5
7. Category: Walldecoration | Object: apa_mp_stilts_bed_art | Name: 3d art
8. Category: Walldecoration | Object: apa_mp_stilts_a_study_pics | Name: Paintingen
Starting furniture analysis from ak47_housing table...
=== Global Prop Usage Summary ===
Prop: apa_prop_cs_plastic_cup_01 | Used: 60 times
Prop: vw_prop_vw_wallart_165a | Used: 2 times
Prop: vw_prop_casino_art_sculpture_02b | Used: 5 times
Prop: prop_bench_01a | Used: 2 times
Prop: ba_prop_battle_club_speaker_dj | Used: 15 times
Prop: prop_coathook_01 | Used: 197 times
Prop: ba_prop_battle_club_speaker_large | Used: 62 times
Prop: vw_prop_book_stack_02b | Used: 12 times
Prop: ch_prop_ch_service_locker_02a | Used: 121 times
Prop: hei_heist_stn_chairarm_01 | Used: 4 times
Prop: v_res_mbath | Used: 2 times
Prop: prop_cs_hand_radio | Used: 27 times
Prop: sf_prop_v_43_safe_s_bk_01a | Used: 68 times
Prop: prop_weed_02 | Used: 9 times
Prop: bkr_prop_meth_hcacid | Used: 1 times
Prop: v_res_fa_cereal01 | Used: 23 times
Prop: prop_pot_plant_6a | Used: 19 times
Prop: v_ret_ta_hero | Used: 7 times
Prop: prop_speaker_06 | Used: 25 times
Prop: apa_mp_h_lit_floorlamp_13 | Used: 141 times
Prop: bkr_prop_gunlocker_01a | Used: 31 times
Prop: v_res_foodjarc | Used: 29 times
Prop: prop_champ_01b | Used: 39 times
Prop: vw_prop_vw_wallart_90a | Used: 5 times
Prop: ch_prop_vault_painting_01f | Used: 5 times
Prop: vw_prop_book_stack_03a | Used: 39 times
Prop: v_res_r_fighorse | Used: 14 times
Prop: v_res_tt_tissues | Used: 16 times
Prop: ex_mp_h_off_easychair_01 | Used: 8 times
Prop: v_res_tissues | Used: 16 times
Prop: hei_heist_stn_benchshort | Used: 196 times
Prop: prop_microwave_1 | Used: 13 times
Prop: prop_ld_greenscreen_01 | Used: 6 times
Prop: prop_cctv_cam_01a | Used: 7 times
Prop: prop_bar_pump_09 | Used: 46 times
Prop: vw_prop_casino_art_gun_01a | Used: 16 times
Prop: apa_mp_h_acc_vase_05 | Used: 24 times
Prop: ch_prop_ch_cashtrolley_01a | Used: 2 times
Prop: prop_champ_flute | Used: 34 times
Prop: prop_beach_towel_03 | Used: 2 times
Prop: vw_prop_vw_wallart_76a | Used: 5 times
Prop: prop_cs_fertilizer | Used: 6 times
Prop: apa_mp_h_bed_with_table_02 | Used: 53 times
Prop: vw_prop_casino_art_vase_07a | Used: 5 times
Prop: prop_ld_handbag | Used: 4 times
Prop: prop_chair_pile_01 | Used: 4 times
Prop: prop_pot_plant_02c | Used: 30 times
Prop: prop_speaker_03 | Used: 17 times
Prop: ex_prop_ex_tv_flat_01 | Used: 63 times
Prop: v_res_tre_sofa_mess_a | Used: 1 times
Prop: prop_chateau_table_01 | Used: 3 times
Prop: ex_mp_h_off_chairstrip_01 | Used: 7 times
Prop: vw_prop_casino_art_vase_09a | Used: 6 times
Prop: vw_prop_casino_art_vase_08a | Used: 8 times
Prop: v_res_j_coffeetable | Used: 6 times
Prop: vw_prop_vw_wallart_106a | Used: 5 times
Prop: vw_prop_casino_art_vase_11a | Used: 4 times
Prop: prop_cs_sink_filler_03 | Used: 4 times
Prop: prop_foodprocess_01 | Used: 15 times
Prop: v_res_fh_laundrybasket | Used: 18 times
Prop: vw_prop_vw_wallart_38a | Used: 2 times
Prop: vw_prop_vw_wallart_83a | Used: 2 times
Prop: v_res_tt_platepile | Used: 39 times
Prop: prop_handdry_01 | Used: 2 times
Prop: prop_freeweight_02 | Used: 7 times
Prop: v_ret_ta_book1 | Used: 7 times
Prop: prop_bottle_cognac | Used: 71 times
Prop: vw_prop_casino_art_vase_06a | Used: 3 times
Prop: vw_prop_vw_wallart_151a | Used: 6 times
Prop: vw_prop_vw_wallart_70a | Used: 57 times
Prop: vw_prop_casino_art_car_08a | Used: 18 times
Prop: bkr_prop_meth_sacid | Used: 1 times
Prop: bkr_prop_moneypack_01a | Used: 2 times
Prop: apa_mp_h_acc_vase_06 | Used: 10 times
Prop: v_med_bench1 | Used: 48 times
Prop: apa_mp_h_str_sideboardl_11 | Used: 19 times
Prop: ba_prop_battle_coke_block_01a | Used: 13 times
Prop: prop_plant_int_06a | Used: 39 times
Prop: bkr_prop_clubhouse_armchair_01a | Used: 17 times
Prop: apa_mp_h_yacht_bed_01 | Used: 32 times
Prop: prop_monitor_03b | Used: 1 times
Prop: prop_cs_sink_filler_02 | Used: 2 times
Prop: gr_prop_gr_target_02a | Used: 5 times
Prop: ex_mp_h_acc_artwallm_03 | Used: 13 times
Prop: prop_joshua_tree_02c | Used: 3 times
Prop: v_ret_ml_cigs | Used: 6 times
Prop: v_res_fh_kitnstool | Used: 8 times
Prop: apa_mp_h_acc_rugwoolm_03 | Used: 89 times
Prop: prop_pot_plant_01d | Used: 10 times
Prop: hei_prop_hei_bnk_lamp_02 | Used: 2 times
Prop: vw_prop_vw_wallart_03a | Used: 14 times
Prop: vw_prop_casino_art_head_01c | Used: 6 times
Prop: prop_cigar_pack_01 | Used: 5 times
Prop: prop_cs_wrench | Used: 4 times
Prop: prop_food_bs_chips | Used: 1 times
Prop: prop_tv_cabinet_03 | Used: 6 times
Prop: apa_mp_h_yacht_coffee_table_02 | Used: 44 times
Prop: prop_ld_int_safe_01 | Used: 68 times
Prop: vw_prop_casino_art_car_05a | Used: 5 times
Prop: sm_prop_smug_monitor_01 | Used: 4 times
Prop: vw_prop_vw_wallart_16a | Used: 1 times
Prop: prop_tree_olive_01 | Used: 6 times
Prop: apa_mp_h_tab_coffee_08 | Used: 57 times
Prop: v_res_tre_basketmess | Used: 14 times
Prop: prop_gold_bar | Used: 105 times
Prop: vw_prop_casino_art_statue_02a | Used: 15 times
Prop: prop_kitch_juicer | Used: 18 times
Prop: p_laptop_02_s | Used: 2 times
Prop: v_ret_ml_tablec | Used: 3 times
Prop: ch_prop_arcade_street_01b | Used: 12 times
Prop: prop_cherenkov_02 | Used: 44 times
Prop: prop_toaster_02 | Used: 12 times
Prop: prop_pot_plant_01e | Used: 8 times
Prop: apa_mp_h_tab_sidelrg_04 | Used: 19 times
Prop: prop_pool_tri | Used: 3 times
Prop: prop_cs_script_bottle | Used: 3 times
Prop: apa_mp_h_tab_sidelrg_01 | Used: 12 times
Prop: prop_beach_lotion_01 | Used: 13 times
Prop: prop_bush_lrg_01d | Used: 10 times
Prop: apa_mp_h_yacht_side_table_01 | Used: 105 times
Prop: prop_dart_bd_cab_01 | Used: 22 times
Prop: v_res_r_figgirl | Used: 2 times
Prop: prop_bowl_crisps | Used: 41 times
Prop: xm_lab_sofa_02 | Used: 12 times
Prop: v_ret_fh_ashtray | Used: 9 times
Prop: sm_prop_smug_tv_flat_01 | Used: 22 times
Prop: prop_bush_ivy_01_bk | Used: 78 times
Prop: v_res_tt_bowlpile02 | Used: 31 times
Prop: vw_prop_casino_art_plant_08a | Used: 29 times
Prop: prop_bush_lrg_03 | Used: 41 times
Prop: v_res_tre_sofa | Used: 1 times
Prop: vodkarow | Used: 65 times
Prop: v_res_m_kscales | Used: 5 times
Prop: prop_cs_katana_01 | Used: 10 times
Prop: v_res_m_stool | Used: 1 times
Prop: v_ret_hd_prod4_ | Used: 4 times
Prop: v_ret_ta_camera | Used: 4 times
Prop: prop_devin_box_closed | Used: 27 times
Prop: apa_mp_h_acc_rugwoolm_01 | Used: 22 times
Prop: bkr_prop_weed_bigbag_02a | Used: 1 times
Prop: prop_cctv_unit_05 | Used: 1 times
Prop: vw_prop_vw_wallart_69a | Used: 1 times
Prop: vw_prop_vw_wallart_39a | Used: 1 times
Prop: prop_microphone_02 | Used: 1 times
Prop: w_pi_pistol50 | Used: 67 times
Prop: bkr_prop_biker_safedoor_01a | Used: 2 times
Prop: prop_tree_eucalip_01 | Used: 5 times
Prop: apa_p_h_acc_artwallm_01 | Used: 222 times
Prop: vw_prop_art_mic_01a | Used: 8 times
Prop: v_res_tt_lighter | Used: 12 times
Prop: prop_couch_lg_07 | Used: 4 times
Prop: prop_fbibombplant | Used: 2 times
Prop: v_res_tre_stool | Used: 2 times
Prop: v_res_tre_cushnscuzb | Used: 1 times
Prop: hei_heist_din_table_06 | Used: 39 times
Prop: prop_bar_drinkstraws | Used: 21 times
Prop: ch_prop_ch_wallart_07a | Used: 10 times
Prop: prop_astro_table_02 | Used: 1 times
Prop: ch_prop_arcade_invade_01a | Used: 12 times
Prop: prop_bikerset | Used: 29 times
Prop: vw_prop_casino_art_rocket_01a | Used: 2 times
Prop: w_at_ar_supp_02 | Used: 16 times
Prop: beerrow_world | Used: 32 times
Prop: apa_prop_flag_china | Used: 1 times
Prop: vw_prop_vw_wallart_33a | Used: 6 times
Prop: prop_ftowel_10 | Used: 5 times
Prop: w_pi_heavypistol | Used: 31 times
Prop: v_corp_servercln | Used: 26 times
Prop: ch_prop_arcade_race_01b | Used: 4 times
Prop: hei_heist_str_avunitl_01 | Used: 26 times
Prop: bkr_prop_meth_openbag_01a | Used: 5 times
Prop: ex_prop_offchair_exec_03 | Used: 25 times
Prop: vw_prop_casino_art_skull_03b | Used: 23 times
Prop: v_ret_gc_fan | Used: 8 times
Prop: apa_mp_h_stn_chairstrip_05 | Used: 23 times
Prop: prop_coke_block_01 | Used: 8 times
Prop: prop_bush_ornament_03 | Used: 4 times
Prop: vw_prop_casino_art_mod_02a | Used: 6 times
Prop: vw_prop_casino_art_head_01a | Used: 5 times
Prop: apa_mp_h_stn_sofa_daybed_01 | Used: 3 times
Prop: vw_prop_vw_wallart_87a | Used: 37 times
Prop: vw_prop_vw_wallart_117a | Used: 1 times
Prop: bkr_prop_coke_scale_03 | Used: 4 times
Prop: vw_prop_vw_wallart_115a | Used: 1 times
Prop: ex_mp_h_din_table_04 | Used: 9 times
Prop: v_med_bed2 | Used: 5 times
Prop: v_res_mcupboard | Used: 1 times
Prop: apa_mp_h_stn_chairarm_24 | Used: 16 times
Prop: vw_prop_art_pug_01a | Used: 2 times
